"Frontend","Program","Method","Assembly-Entry","Move","Invoke","Call-Acc","If","Goto","Goback","Exit-Method","Exit-Program","Exit","Stop-Run","Add","Subtract","Compute","Perform","Set","Log-Fault","Debug-Break","Copy","String-BLT","Of","Address-Of","Refmod","Subscript","Self","Null","Print","Input","Dialogue","Fortran-Move","Fortran-Compute","Fortran-Declare","Fortran-Do","Fortran-If","Fortran-Logical-Op","Fortran-Arith-Op","Operator:=","Operator:≠","Operator:<","Operator:≤","Operator:>","Operator:≥","Operator:+","Operator:-","Operator:×","Operator:÷","Operator:¬","Operator:∧","Operator:∨","Operator:⊻","Operator:⊼","Operator:⊽","Operator:ash","Total_Coverage","Percentage"
"AGI","✓","✓","✗","✓","✗","✓","✓","✓","✓","✗","✗","✗","✗","✓","✓","✓","✗","✓","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","23","41%"
"BASIC","✓","✓","✗","✓","✗","✗","✓","✓","✓","✗","✗","✗","✗","✓","✓","✗","✓","✗","✗","✗","✓","✓","✓","✓","✓","✓","✗","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","24","43%"
"Burgermistress","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✓","✗","✗","✗","✗","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","8","14%"
"COBOL","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✗","✓","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✓","✓","✓","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","47","84%"
"Forth","✓","✓","✗","✗","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✓","✗","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","14","25%"
"FORTRAN","✓","✓","✗","✗","✓","✗","✗","✓","✗","✗","✗","✗","✗","✓","✓","✗","✗","✗","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✗","✗","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","18","32%"
"Fountain","✓","✗","✗","✓","✓","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✓","✓","✗","✗","✗","✗","✓","✗","✗","✗","✗","✗","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","20","36%"
"Goal","✓","✓","✗","✗","✗","✗","✓","✗","✗","✓","✗","✓","✗","✓","✓","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✓","✓","✓","✓","✓","✓","✗","✗","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","18","32%"
"Lingo","✓","✓","✗","✓","✓","✗","✓","✓","✗","✗","✗","✗","✓","✓","✓","✓","✓","✗","✓","✗","✓","✗","✓","✗","✗","✗","✓","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✓","✓","✓","✓","✓","✓","✗","✗","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","27","48%"
"Lua","✓","✓","✗","✓","✓","✗","✓","✗","✗","✓","✗","✓","✗","✓","✓","✗","✓","✓","✓","✓","✓","✓","✗","✓","✓","✗","✗","✗","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✓","✓","✓","✓","✓","✓","✗","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✓","37","66%"
"Muddle","✓","✓","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✓","✗","✗","✓","✗","✗","✓","✗","✗","✗","✓","✗","✗","✗","✗","✗","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","13","23%"
"Objective-C","✓","✓","✗","✓","✓","✗","✓","✗","✗","✓","✗","✓","✗","✓","✗","✓","✓","✓","✗","✗","✓","✗","✗","✓","✗","✗","✗","✗","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","24","43%"
"Pascal","✓","✓","✓","✓","✓","✗","✓","✓","✓","✗","✗","✓","✓","✗","✗","✗","✗","✗","✓","✗","✓","✗","✓","✗","✗","✓","✗","✗","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","27","48%"
"SCI","✓","✓","✗","✓","✓","✗","✓","✗","✗","✗","✗","✗","✗","✓","✓","✓","✓","✓","✗","✗","✓","✗","✗","✗","✗","✗","✓","✗","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✓","✓","✓","✓","✓","✓","✗","✗","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","28","50%"
"SCUMM","✓","✓","✗","✓","✗","✗","✓","✓","✓","✗","✗","✗","✗","✓","✓","✓","✓","✗","✗","✗","✓","✗","✗","✗","✗","✓","✗","✗","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","18","32%"
"Smalltalk","✓","✓","✗","✓","✓","✗","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✓","✗","✗","✗","✓","✗","✗","✗","✗","✗","✗","✗","✓","✓","✓","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","✗","19","34%"
