Frontend,Lexer_File,Lexer_Lines,Parser_File,Parser_Lines,Has_Transpile,Transpile_Lines,Parser_Type,AST_Builders,Comment_Refs,Keyword_Refs,Tests_Assertions,Status
AGI,agi-lexer.lisp,252,agi-parser.lisp,427,Yes,92,CL-YACC,15,56,11,27,PASS
BASIC,basic-lexer.lisp,246,basic-parser.lisp,482,Yes,254,CL-YACC,20,40,10,29,PASS
BurgerMistress,burger-lexer.lisp,205,burger-parser.lisp,266,No,0,CL-YACC,20,36,9,86,PASS
COBOL,cobol-lexer.lisp,432,cobol-parser.lisp,1817,No,0,CL-YACC,22,79,4,51,PASS
Forth,forth-lexer.lisp,412,forth-parser.lisp,543,Yes,33,Recursive-Descent,22,64,7,27,PASS
Fortran,fortran-lexer.lisp,325,fortran-parser.lisp,487,No,0,CL-YACC,17,50,12,27,PASS
Fountain,lexer.lisp,479,parser.lisp,722,Yes,131+313,Domain-Specific,52,101,20,27,PASS
GOAL,goal-lexer.lisp,282,goal-parser.lisp,224,No,0,Direct-Semantic,13,80,13,27,PASS
Lingo,lingo-lexer.lisp,407,lingo-parser.lisp,379,No,0,CL-YACC,18,82,12,27,PASS
Lua,lua-lexer.lisp,195,lua-parser.lisp,532,No,0,CL-YACC,20,53,13,27,PASS
Muddle,muddle-lexer.lisp,377,muddle-parser.lisp,262,No,0,CL-YACC,9,130,9,27,PASS
Objective-C,objective-lexer.lisp,211,objective-parser.lisp,348,No,0,CL-YACC,16,45,10,27,PASS
Pascal,pascal-lexer.lisp,105,pascal-parser.lisp,523,No,0,CL-YACC,41,12,1,27,PASS
SCI,sci-lexer.lisp,255,sci-parser.lisp,343,Yes,31,CL-YACC,23,53,5,27,PASS
SCUMM,scumm-lexer.lisp,235,scumm-parser.lisp,404,Yes,31,CL-YACC,26,45,5,27,PASS
SmallTalk,smalltalk-lexer.lisp,349,smalltalk-parser.lisp,280,No,0,CL-YACC,38,84,14,27,PASS
ZIL,zil-lexer.lisp,243,zil-parser.lisp,321,No,0,CL-YACC,38,57,7,27,PASS
