backend,program,method,assembly-entry,move,invoke,call,call-acc,on,of,if,goto,goback,perform,log-fault,debug-break,copy,string-blt,evaluate,=,≠,<,≤,>,≥,¬,∧,∨,⊻,+,-,×,÷,ash
6502,UNTESTED!,,UNTESTED!,73,2,8,UNTESTED!,,,8,3,UNTESTED!,9,1,1,,4,1,4,UNTESTED!,1,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,34,18,5,3,UNTESTED!
65c02,UNTESTED!,,UNTESTED!,85,3,9,1,,,13,4,8,14,2,2,,5,2,9,UNTESTED!,2,UNTESTED!,2,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,32,20,5,4,UNTESTED!
65c816,UNTESTED!,,UNTESTED!,81,3,9,1,,,10,4,6,11,2,2,,5,2,7,UNTESTED!,1,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,34,18,4,3,UNTESTED!
rp2a03,UNTESTED!,,UNTESTED!,82,3,9,1,,,10,4,8,11,2,2,,5,2,7,UNTESTED!,1,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,35,19,4,3,UNTESTED!
huc6280,UNTESTED!,,UNTESTED!,84,3,9,1,,,12,4,6,14,2,2,,5,2,8,UNTESTED!,2,UNTESTED!,2,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,35,19,4,3,UNTESTED!
z80,UNTESTED!,,UNTESTED!,59,2,8,UNTESTED!,,,8,3,UNTESTED!,9,1,1,,4,1,5,,UNTESTED!,,UNTESTED!,,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,28,18,,,UNTESTED!
sm83,UNTESTED!,,UNTESTED!,53,1,9,1,,,7,3,UNTESTED!,13,1,1,,4,1,6,,UNTESTED!,,UNTESTED!,,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,26,17,,,UNTESTED!
m6800,UNTESTED!,,UNTESTED!,33,UNTESTED!,2,1,,,4,3,3,9,1,1,,1,UNTESTED!,UNTESTED!,,,,,,,,,,21,18,,,
m68k,UNTESTED!,,UNTESTED!,59,3,9,1,,,11,4,9,13,2,2,,5,2,8,,1,,2,,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,28,19,,,UNTESTED!
i286,UNTESTED!,,UNTESTED!,59,3,9,1,,,11,4,9,13,2,2,,5,2,8,,1,,2,,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,27,18,,,UNTESTED!
cp1610,UNTESTED!,,UNTESTED!,65,4,9,UNTESTED!,,,16,4,7,12,2,2,,5,2,8,UNTESTED!,1,UNTESTED!,4,UNTESTED!,1,1,UNTESTED!,UNTESTED!,28,18,,,UNTESTED!
f8,UNTESTED!,,UNTESTED!,54,2,9,1,,,8,3,2,14,1,1,,4,1,7,,UNTESTED!,,UNTESTED!,,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,29,18,,,UNTESTED!
arm7,UNTESTED!,,UNTESTED!,35,2,8,1,,,10,2,7,6,2,2,,5,2,UNTESTED!,,UNTESTED!,,UNTESTED!,,,UNTESTED!,UNTESTED!,UNTESTED!,8,2,UNTESTED!,UNTESTED!,UNTESTED!
jvm,3,5,UNTESTED!,20,2,2,1,,,6,2,6,2,1,1,,,,UNTESTED!,,,,,,,,,,7,2,,,
stack,UNTESTED!,,UNTESTED!,34,2,8,1,,,10,2,8,6,2,2,UNTESTED!,5,2,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,UNTESTED!,8,2,UNTESTED!,UNTESTED!,UNTESTED!
wasm,3,5,UNTESTED!,19,2,2,1,,,6,2,6,2,1,1,,,,UNTESTED!,,,,,,,,,,7,2,,,
zork,3,5,UNTESTED!,19,2,2,1,,,6,2,6,2,1,1,,,,UNTESTED!,,,,,,,,,,7,2,,,
