Backend,Status,Files,Lines,Statements,Coverage%,I/O_Support,Shift_Ops,Comments,BreakContinue,Multiply,Divide,CallAcc,Invoke,Print,Input,Dialogue,Procedure,Comment_Support
6502,✅_Full,15,3263,31,100%,✅,❌,✅,✅,❌,❌,✅,✅,✅,✅,✅,✅,✅
65c02,⚠️_Stub,1,11,31*,100%*,✅,❌,✅,✅,❌,❌,✅,✅,✅,✅,✅,✅,✅
65c816,⚠️_Stub,1,11,31*,100%*,✅,❌,✅,✅,❌,❌,✅,✅,✅,✅,✅,✅,✅
z80,🔴_Incomplete,2,1182,0,0%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
huc6280,⚠️_Stub,1,11,31*,100%*,✅,❌,✅,✅,❌,❌,✅,✅,✅,✅,✅,✅,✅
rp2a03,✅_Full,1,365,32,103%,✅,❌,❌,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
sm83,✅_Full,1,1048,31,100%,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
m68k,✅_Full,1,862,30,97%,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅
i286,🔴_Incomplete,1,914,0,0%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
arm7,✅_Full,1,912,26,84%,❌,✅,✅,❌,✅,✅,❌,✅,❌,❌,❌,❌,✅
f8,✅_Full,1,1245,32,103%,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cp1610,✅_Full,1,1141,31,100%,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅
stack,✅_Full,1,522,33,106%,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
