Backend,CPU Architecture,Code Lines,Current %,Binary 8-bit,Binary 16-bit,Binary 24-bit,Binary 32-bit,Signed Binary,BCD Unsigned,BCD Signed,Display,MULTIPLY,DIVIDE,Bitwise Ops,Shift Ops,BCD Conversion,Priority,Est Hours,Notes
6502,MOS 6502,3295,75%,✓,✓,✓,✓,✓,✓ (D flag),✗ (2-byte issue),✗,✗,✗,✓,✓,✗,HIGH,40-60,"D flag for BCD; 2-byte subtract broken; misaligned scaling broken"
65C02,WDC 65C02,11,75%,✓,✓,✓,✓,✓,✓ (D flag),✗,✗,✗,✗,✓,✓,✗,MEDIUM,2-5,"Inherits from 6502; STZ optimization; BRA optimization"
65C816,WDC 65C816,11,75%,✓,✓,✓,✓,✓,✓ (D flag),✗,✗,✗,✗,✓,✓,✗,MEDIUM,3-8,"Inherits from 6502; 16-bit native mode not exploited"
Z80,Zilog Z80,1203,65%,✓,✓,✓,✓,✓,✗ (no convert),✗,✗,✗,✗,✓,✓,✗,HIGH,50-70,"No hardware BCD; BCD conversion blocked"
HUC6280,Hudson HuC6280,11,75%,✓,✓,✓,✓,✓,✓ (D flag),✗,✗,✗,✗,✓,✓,✗,LOW,1-2,"Inherits from 6502 family"
RP2A03,Ricoh RP2A03,365,55%,✓,✓,✓,✓,✓,✓ (soft),✗,✗,✗,✗,✓,✓,✗,MEDIUM,30-40,"6502 clone; software BCD routines instead of D flag"
CP1610,GI CP1610,1157,62%,✓,✓,✓,✓,✓,✗ (no convert),✗,✗,✗,✗,✓,✓,✗,HIGH,45-65,"10-bit words; BCD conversion blocked; scaling issues"
M68K,Motorola 68000,882,55%,✓,✓,✓,✓,✓,✗ (blocked),✗ (blocked),✗,✗ (blocked),✗ (blocked),✓,✓,✗,HIGH,20-30,"Native ABCD/SBCD; MULTIPLY blocked; DIVIDE blocked"
I286,Intel 80286,914,50%,✓,✓,✓,✓,✓,✗ (blocked),✗ (blocked),✗,✗ (blocked),✗ (blocked),✓,✓,✗,MEDIUM,20-27,"Has MUL/DIV/IMUL/IDIV; BCD blocked; AAA/AAD legacy"
ARM7,ARM Thumb,912,50%,✓,✓,✓,✓,✓,✗ (blocked),✗ (blocked),✗,✗ (blocked),✗ (blocked),✓,✓,✗,MEDIUM,22-29,"MUL/DIV available; BCD blocked; software correction sketched"
F8,Fairchild F8,1245,52%,✓,✓,✗,✗,✓,✗ (deferred),✗ (deferred),✗,✗,✗,✓,✓,✗,MEDIUM,46-60,"BCD deferred; limited 4KB address space; AMD/ASD F8-specific"
STACK,Virtual Stack Machine,522,45%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LOW,15-20,"Stack-based arbitrary precision; expression compilation needed"
SM83,Sharp SM83,1048,50%,✓,✓,✗,✗,✓,✗,✗,✗,✗,✗,✓,✓,✗,MEDIUM,30-40,"Game Boy CPU; no BCD; 8/16-bit only"
M6800,Motorola 6800,438,40%,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✓,✓,✗,MEDIUM,35-45,"Similar to 6502; DAA but no SED/CLD; full implementation needed"
FORTH,Forth Language,599,45%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LOW,15-20,"Stack-based; arbitrary precision; natural for testing"
