"Node Type","Category","COBOL","Lua","SCI","Lingo","Pascal","BASIC","Objective-C","AGI","Fountain","SCUMM","FORTRAN","Goal","ZIL","Forth","Muddle","Objective","Burgermistress","Coverage","Notes"
":program","Structure",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"17/17 (100%)","Universal"
":method","Structure",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"17/17 (100%)","Universal"
":dd","Structure",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/17 (6%)","COBOL-only data definitions"
":move","Statement",1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,"13/17 (76%)","Assignment"
":if","Statement",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0.5,0,0,"13/17 (76%)","Conditional"
":invoke","Statement",1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,"9/17 (53%)","Method call"
":call-acc","Statement",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2/17 (11%)","Accumulator-based call - CRITICAL GAP"
":perform","Statement",1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,"11/17 (65%)","Loop"
":add","Statement",1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,"11/17 (65%)","Add to accumulator"
":subtract","Statement",1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,"10/17 (59%)","Subtract from accumulator"
":compute","Statement",1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,"7/17 (41%)","Evaluate expression"
":set","Statement",1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,"7/17 (41%)","Set variable with semantics"
":goto","Statement",1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,"7/17 (41%)","Unconditional jump"
":goback","Statement",1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"5/17 (29%)","COBOL-style return"
":exit-method","Statement",1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"4/17 (23%)","Early exit from method"
":exit-program","Statement",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"2/17 (11%)","Halt program - CRITICAL"
