frontend,program,method,assembly-entry,move,invoke,call,call-acc,on,of,if,goto,goback,perform,log-fault,debug-break,copy,string-blt,evaluate,=,≠,<,≤,>,≥,¬,∧,∨,⊻,+,-,×,÷,ash
agi,statement list / Main UNTESTED!,,,= ASSIGN; SET/RESET; INCREMENT/DECREMENT; NEWROOM UNTESTED!,,GOSUB; LOADLOGICS UNTESTED!,,,,IF/THEN/ELSE/END-IF UNTESTED!,GOTO UNTESTED!,QUIT; RETURN UNTESTED!,,,,,,,= UNTESTED!,!= UNTESTED!,/< UNTESTED!,<= UNTESTED!,/> UNTESTED!,>= UNTESTED!,NOT UNTESTED!,AND UNTESTED!,OR UNTESTED!,,+ UNTESTED!,- UNTESTED!,* UNTESTED!,/ UNTESTED!,<< >> UNTESTED!
basic,,,,LET x = v; SET x TO v; MOVE v TO x UNTESTED!,,,,,,IF/THEN/ELSE; WHILE; UNTIL UNTESTED!,GOTO UNTESTED!,NEXT; RETURN; END UNTESTED!,FOR x = a TO b STEP s; GOSUB UNTESTED!,LOG FAULT UNTESTED!,,,"PCOPY src,dst,len UNTESTED!",,= UNTESTED!,<> UNTESTED!,< UNTESTED!,<= UNTESTED!,> UNTESTED!,>= UNTESTED!,NOT UNTESTED!,AND UNTESTED!,OR UNTESTED!,XOR UNTESTED!,+ UNTESTED!,- UNTESTED!,* UNTESTED!,/ UNTESTED!,
burgermistress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cobol,PROGRAM-ID,METHOD-ID,ASSEMBLY ENTRY,MOVE a TO b; COMPUTE x = expr; SET x TO/UP BY/DOWN BY/NULL,INVOKE obj method; CALL obj ON method,CALL target; CALL SERVICE n,CALL target USING expr UNTESTED!,,,IF/THEN/ELSE/END-IF; EVALUATE TRUE,GO TO label,GOBACK; EXIT METHOD; EXIT PROGRAM; EXIT; STOP RUN,PERFORM [TIMES/UNTIL/VARYING],LOG FAULT,DEBUG BREAK,,STRING ... DELIMITED BY SIZE INTO,EVALUATE/WHEN,= / IS ZERO,IS NOT ZERO UNTESTED!,IS LESS THAN / <,,IS GREATER THAN / >,,NOT,AND,OR,,+ (ADD/COMPUTE),- (SUBTRACT/COMPUTE) UNTESTED!,* (COMPUTE) UNTESTED!,/ (COMPUTE) UNTESTED!,SHIFT-LEFT/SHIFT-RIGHT
forth,: name ... ;,: name ... ;,,VARIABLE; CONSTANT UNTESTED!,,user-defined words UNTESTED!,,,,IF/ELSE/THEN,,,BEGIN/UNTIL; BEGIN/WHILE/REPEAT; DO/LOOP,,,,,,,,,,,,,,,,,,,,
fortran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fountain,screenplay source UNTESTED!,,,SET identifier TO expression UNTESTED!,,,,,,WHEN ... THEN; UNLESS ... THEN UNTESTED!,,,,,,,,,,,,,,,UNLESS UNTESTED!,,,,,,,,
garry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci,implicit top-level UNTESTED!,,,,,,,,,,,,(while ...); (for ...) UNTESTED!,,,,,,,,,,,,,,,,,,,,
scumm,implicit top-level UNTESTED!,define id to ... end UNTESTED!,,,,call id(args) UNTESTED!,,,,if (e) stmt [else stmt] UNTESTED!,goto label UNTESTED!,return UNTESTED!,while ... endwhile; for ... endfor UNTESTED!,,,,,,,,,,,,,,,,,,,,
smalltalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
